position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1,1,ICBC,icbc,icbc,Major Banks,China,151381.0,229805.0,China,,Jian Jiang,,41983.7,3473238.0,
2,2,China Construction Bank,china-construction-bank,china-construction-bank,Major Banks,China,134242.0,200458.0,China,,You Guo,,34981.4,3016578.0,
3,3,Berkshire Hathaway,berkshire-hathaway,berkshire-hathaway,Investment Services,United States,222935.0,409908.0,Nebraska,Nebraska,Warren Edward Buffett,,24074.0,620854.0,
4,4,JPMorgan Chase,jpmorgan-chase,jpmorgan-chase,Major Banks,United States,102494.0,306616.0,New York,New York,Jamie Dimon,,24231.0,2512986.0,
5,5,Wells Fargo,wells-fargo,wells-fargo,Major Banks,United States,97573.0,274385.0,California,California,Timothy J. Sloan,http://specials-images.forbesimg.com/imageserve/5810c30ea7ea435b91b0839a/280x425.jpg?fit=scale&background=000000,21938.0,1943443.0,http://specials-images.forbesimg.com/imageserve/5810c30ea7ea435b91b0839a/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
6,6,Agricultural Bank of China,agricultural-bank-of-china,agricultural-bank-of-china,Regional Banks,China,115698.0,149229.0,China,,Ying Che,,27797.5,2816039.0,
7,7,Bank of America,bank-of-america,bank-of-america,Major Banks,United States,92214.0,231876.0,North Carolina,North Carolina,Brian T. Moynihan,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/280x425.jpg?fit=scale&background=000000,16563.0,2196847.0,http://specials-images.forbesimg.com/imageserve/580f8de131358e23831614c5/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
8,8,Bank of China,bank-of-china,bank-of-china,Major Banks,China,113107.0,141321.0,China,,Chen Siqing,,24856.6,2611539.0,
9,9,Apple,apple,apple,Computer Hardware,United States,217481.0,752039.0,California,California,Tim Cook,http://specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/280x425.jpg?fit=scale&background=000000,45217.0,331141.0,//specials-images.forbesimg.com/imageserve/580f8c9e31358e238316147e/416x416.jpg?background=000000&cropX1=267&cropX2=971&cropY1=287&cropY2=991
10,10,Toyota Motor,toyota-motor,toyota-motor,Auto & Truck Manufacturers,Japan,249902.0,171850.0,Japan,,Takeshi Uchiyamada,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/280x425.jpg?fit=scale&background=000000,17111.5,412496.0,http://specials-images.forbesimg.com/imageserve/5810bf154bbe6f0ad5da9e7c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
11,11,AT&T,att,att,Telecommunications services,United States,163786.0,249286.0,Texas,Texas,Randall L. Stephenson,http://specials-images.forbesimg.com/imageserve/580f8d35a7ea435b91b07545/280x425.jpg?fit=scale&background=000000,12976.0,403821.0,http://specials-images.forbesimg.com/imageserve/57ff9f2931358e6da6d7e196/416x416.jpg?background=000000&cropX1=593&cropX2=3943&cropY1=7&cropY2=3358
12,12,Citigroup,citigroup,citigroup,Major Banks,United States,84038.0,164316.0,New York,New York,Mike L. Corbat,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/280x425.jpg?fit=scale&background=000000,14717.0,1795099.0,http://specials-images.forbesimg.com/imageserve/580f946131358e238316169c/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
13,13,ExxonMobil,exxon-mobil,exxon-mobil,Oil & Gas Operations,United States,197518.0,343165.0,Texas,Texas,Darren W. Woods,,7840.0,330314.0,
14,14,General Electric,general-electric,general-electric,Conglomerates,United States,119690.0,261174.0,Massachusetts,Massachusetts,Jeff Immelt,http://specials-images.forbesimg.com/imageserve/580f9978a7ea435b91b07740/280x425.jpg?fit=scale&background=000000,10020.0,365183.0,http://specials-images.forbesimg.com/imageserve/57fff2eca7ea4357a3e02864/416x416.jpg?background=000000&cropX1=789&cropX2=2559&cropY1=0&cropY2=1769
15,15,Samsung Electronics,samsung-electronics,samsung-electronics,Semiconductors,South Korea,173995.0,254303.0,South Korea,,Oh-Hyun Kwon,http://specials-images.forbesimg.com/imageserve/580fb655a7ea435b91b07b2d/280x425.jpg?fit=scale&background=000000,19320.7,217068.0,//specials-images.forbesimg.com/imageserve/580fb655a7ea435b91b07b2d/416x416.jpg?background=000000&cropX1=5&cropX2=458&cropY1=4&cropY2=457
16,16,Ping An Insurance Group,ping-an-insurance,ping-an-insurance,Diversified Insurance,China,106606.0,100811.0,China,,Ming Zhe Ma,,9460.3,801022.0,
17,17,Wal-Mart Stores,wal-mart-stores,wal-mart-stores,Discount Stores,United States,485252.0,221106.0,Arkansas,Arkansas,C. Douglas McMillon,http://specials-images.forbesimg.com/imageserve/5810c26531358e2383162149/280x425.jpg?fit=scale&background=000000,13643.0,198825.0,http://specials-images.forbesimg.com/imageserve/5810c26531358e2383162149/416x416.jpg?background=000000&cropX1=218&cropX2=1024&cropY1=275&cropY2=1081
18,18,Verizon Communications,verizon-communications,verizon-communications,Telecommunications services,United States,125980.0,198352.0,New York,New York,Lowell C. McAdam,http://specials-images.forbesimg.com/imageserve/5810c0f331358e2383162128/280x425.jpg?fit=scale&background=000000,13127.0,244180.0,http://specials-images.forbesimg.com/imageserve/5810c0f331358e2383162128/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
19,19,Microsoft,microsoft,microsoft,Software & Programming,United States,85270.0,507544.0,Washington,Washington,Satya Nadella,http://specials-images.forbesimg.com/imageserve/580faed131358e238316193a/280x425.jpg?fit=scale&background=000000,16768.0,224610.0,http://specials-images.forbesimg.com/imageserve/580faed131358e238316193a/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
20,20,Royal Dutch Shell,royal-dutch-shell,royal-dutch-shell,Oil & Gas Operations,Netherlands,234751.0,228793.0,Netherlands,,Ben van Beurden,,4650.7,411275.0,
21,21,Allianz,allianz,allianz,Diversified Insurance,Germany,115725.0,83721.0,Germany,,Oliver Bäte,http://specials-images.forbesimg.com/imageserve/580a3b6c4bbe6f0ad5da65f2/280x425.jpg?fit=scale&background=000000,7614.0,935871.0,http://specials-images.forbesimg.com/imageserve/580a3b6c4bbe6f0ad5da65f2/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
22,21,China Mobile,china-mobile,china-mobile,Telecommunications services,Hong Kong,106763.0,225308.0,Hong Kong,,Yue Li,,16423.4,218864.0,
23,23,BNP Paribas,bnp-paribas,bnp-paribas,Major Banks,France,74702.0,80499.0,France,,Jean-Laurent Bonnafé,,8370.6,2190672.0,
24,24,Alphabet,alphabet,alphabet,Computer Services,United States,89920.0,579499.0,California,California,Lawrence E. Page,,19478.0,167497.0,
25,25,China Petroleum & Chemical,china-petroleum-chemical,no-pic,Oil & Gas Operations,China,255722.0,105122.0,China,,Qingde Sun,,6986.6,216711.0,
26,26,Total,total,total,Oil & Gas Operations,France,128067.0,128122.0,France,,Patrick Pouyanné,,6156.1,230978.0,
27,27,AXA Group,axa-group,axa-group,Diversified Insurance,France,132153.0,60770.0,France,,Thomas Buberl,,6152.7,925854.0,
28,28,Daimler,daimler,daimler,Auto & Truck Manufacturers,Germany,169537.0,76099.0,Germany,,Dieter Zetsche,,9431.4,256292.0,
29,28,Volkswagen Group,volkswagen-group,volkswagen-group,Auto & Truck Manufacturers,Germany,240340.0,72941.0,Germany,,Matthias Müller,http://specials-images.forbesimg.com/imageserve/5810c1d5a7ea435b91b08375/280x425.jpg?fit=scale&background=000000,5690.3,458742.0,http://specials-images.forbesimg.com/imageserve/5810c1d5a7ea435b91b08375/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
30,30,Mitsubishi UFJ Financial,mitsubishi-ufj-financial,mitsubishi-ufj-financial,Major Banks,Japan,49173.0,83858.0,Japan,,Nobuyuki Hirano,,8154.5,2589758.0,
31,31,Comcast,comcast,comcast,Broadcasting & Cable,United States,80403.0,193528.0,Pennsylvania,Pennsylvania,Brian L. Roberts,,8695.0,180500.0,
32,32,Johnson & Johnson,johnson-johnson,johnson-johnson,Medical Equipment & Supplies,United States,71937.0,338644.0,New Jersey,New Jersey,Alex Gorsky,,16375.0,141208.0,
33,33,Banco Santander,banco-santander,banco-santander,Major Banks,Spain,48336.0,89409.0,Spain,,José Antonio Álvarez Álvarez,http://specials-images.forbesimg.com/imageserve/580fb6c84bbe6f0ad5da9615/280x425.jpg?fit=scale&background=000000,6862.8,1412442.0,http://specials-images.forbesimg.com/imageserve/580fb6c84bbe6f0ad5da9615/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
34,34,Bank of Communications,bank-of-communications,bank-of-communications,Major Banks,China,52995.0,62164.0,China,,Qing Hua,,10141.0,1209176.0,
35,34,Nestle,nestle,nestle,Food Processing,Switzerland,90816.0,229485.0,Switzerland,,Ulf Mark Schneider,http://specials-images.forbesimg.com/imageserve/580faf6fa7ea435b91b07a2c/280x425.jpg?fit=scale&background=000000,8659.4,129779.0,http://specials-images.forbesimg.com/imageserve/580faf6fa7ea435b91b07a2c/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
36,36,UnitedHealth Group,unitedhealth-group,unitedhealth-group,Managed Health Care,United States,184871.0,160185.0,Minnesota,Minnesota,Stephen J. Hemsley,,7237.0,125037.0,
37,37,Nippon Telegraph & Tel,nippon-tel-tel,nippon-tel-tel,Telecommunications services,Japan,104972.0,92230.0,Japan,,Hiroo Unoura,,7384.6,180257.0,
38,38,Itaú Unibanco Holding,itau-unibanco-holding,itau-unibanco-holding,Regional Banks,Brazil,61283.0,79208.0,Brazil,,Candido Botelho Bracher,,6673.6,419923.0,
